location,variant,time,agegrp,popmale,popfemale,poptotal
Albania,High,2020,50-54,88.503997999999996,95.680999999999997,184.185,,,,,,,,
Albania,High,2020,55-59,98.653998999999999,103.252,201.90601000000001,,,,,,,,
Albania,High,2020,60-64,91.164000999999999,95.294998000000007,186.459,,,,,,,,
Albania,High,2020,65-69,69.836997999999994,73.945999,143.78299999999999,,,,,,,,
Albania,High,2020,70-74,52.442000999999998,55.689999,108.13200000000001,,,,,,,,
Albania,High,2020,75-79,41.429001,45.106997999999997,86.536002999999994,,,,,,,,
Albania,High,2020,80-84,25.726998999999999,28.149000000000001,53.875999,,,,,,,,
Albania,High,2020,85-89,10.503,12.885,23.388000000000002,,,,,,,,
Albania,High,2020,90+,2.8410001,4.6130003999999998,7.4539999999999997,,,,,,,,
Albania,High,2025,50-54,77.698997000000006,88.361999999999995,166.06100000000001,,,,,,,,
Albania,High,2025,55-59,85.396004000000005,93.754997000000003,179.15100000000001,,,,,,,,
Albania,High,2025,60-64,94.259003000000007,100.676,194.935,,,,,,,,
Albania,High,2025,65-69,85.319000000000003,91.557998999999995,176.87700000000001,,,,,,,,
Albania,High,2025,70-74,62.762000999999998,68.740996999999993,131.50300999999999,,,,,,,,
Albania,High,2025,75-79,43.672001000000002,48.102001000000001,91.774001999999996,,,,,,,,
Albania,High,2025,80-84,29.302999,33.249001,62.551997999999998,,,,,,,,
Albania,High,2025,85-89,13.651,15.792999999999999,29.443999999999999,,,,,,,,
Albania,High,2025,90+,4.2389998000000002,5.5990004999999998,9.8379992999999999,,,,,,,,
Albania,High,2030,50-54,71.141998000000001,72.997001999999995,144.13901000000001,,,,,,,,
Albania,High,2030,55-59,75.190002000000007,86.747001999999995,161.93700000000001,,,,,,,,
Albania,High,2030,60-64,81.867996000000005,91.588997000000006,173.45699999999999,,,,,,,,
Albania,High,2030,65-69,88.683998000000003,97.032996999999995,185.71700000000001,,,,,,,,
Albania,High,2030,70-74,77.305000000000007,85.582001000000005,162.88699,,,,,,,,
Albania,High,2030,75-79,52.932999000000002,59.985999999999997,112.919,,,,,,,,
Albania,High,2030,80-84,31.575001,36.165000999999997,67.739998,,,,,,,,
Albania,High,2030,85-89,16.113001000000001,19.291,35.403998999999999,,,,,,,,
Albania,High,2030,90+,5.8769999000000004,7.1980000000000004,13.074999999999999,,,,,,,,
Albania,High,2035,50-54,83.008003000000002,70.363997999999995,153.37199000000001,,,,,,,,
Albania,High,2035,55-59,69.093001999999998,71.794998000000007,140.88800000000001,,,,,,,,
Albania,High,2035,60-64,72.346999999999994,84.963997000000006,157.31100000000001,,,,,,,,
Albania,High,2035,65-69,77.387000999999998,88.602997000000002,165.99001000000001,,,,,,,,
Albania,High,2035,70-74,80.952003000000005,91.308998000000003,172.261,,,,,,,,
Albania,High,2035,75-79,65.997001999999995,75.674003999999996,141.67101,,,,,,,,
Albania,High,2035,80-84,39.109000999999999,46.289000999999999,85.398003000000003,,,,,,,,
Albania,High,2035,85-89,17.981999999999999,21.927,39.908999999999999,,,,,,,,
Albania,High,2035,90+,7.4560003000000004,9.4899997999999997,16.946000999999999,,,,,,,,
Albania,High,2040,50-54,110.742,91.888999999999996,202.631,,,,,,,,
Albania,High,2040,55-59,80.842003000000005,69.236999999999995,150.07899,,,,,,,,
Albania,High,2040,60-64,66.637000999999998,70.356003000000001,136.99299999999999,,,,,,,,
Albania,High,2040,65-69,68.650002000000001,82.349997999999999,151,,,,,,,,
Albania,High,2040,70-74,71.102997000000002,83.698997000000006,154.80199999999999,,,,,,,,
Albania,High,2040,75-79,69.908996999999999,81.407996999999995,151.31700000000001,,,,,,,,
Albania,High,2040,80-84,49.810001,59.402999999999999,109.21299999999999,,,,,,,,
Albania,High,2040,85-89,23.080998999999998,28.927,52.007998999999998,,,,,,,,
Albania,High,2040,90+,8.9390000999999994,11.605,20.544001000000002,,,,,,,,
Albania,High,2045,50-54,113.17,101.143,214.31299999999999,,,,,,,,
Albania,High,2045,55-59,108.19,90.596999999999994,198.78700000000001,,,,,,,,
Albania,High,2045,60-64,78.221001000000001,67.915001000000004,146.136,,,,,,,,
Albania,High,2045,65-69,63.469002000000003,68.299003999999996,131.76801,,,,,,,,
Albania,High,2045,70-74,63.467998999999999,78.073997000000006,141.54201,,,,,,,,
Albania,High,2045,75-79,62.061999999999998,75.195999,137.25800000000001,,,,,,,,
Albania,High,2045,80-84,53.834000000000003,64.939003,118.773,,,,,,,,
Albania,High,2045,85-89,30.427999,38.200001,68.627998000000005,,,,,,,,
Albania,High,2045,90+,11.920999999999999,15.803000000000001,27.724001000000001,,,,,,,,
Albania,High,2050,50-54,97.386002000000005,92.531998000000002,189.91800000000001,,,,,,,,
Albania,High,2050,55-59,110.758,99.822997999999998,210.58099000000001,,,,,,,,
Albania,High,2050,60-64,105.05,89.038002000000006,194.08799999999999,,,,,,,,
Albania,High,2050,65-69,74.828002999999995,66.046997000000005,140.875,,,,,,,,
Albania,High,2050,70-74,59.040000999999997,64.967003000000005,124.00700000000001,,,,,,,,
Albania,High,2050,75-79,55.987000000000002,70.652000000000001,126.639,,,,,,,,
Albania,High,2050,80-84,48.745998,60.898997999999999,109.645,,,,,,,,
Albania,High,2050,85-89,34.033000999999999,42.923000000000002,76.956001000000001,,,,,,,,
Albania,High,2050,90+,16.615998999999999,22.008001,38.624001,,,,,,,,
Albania,High,2055,50-54,84.185997,72.405997999999997,156.59200000000001,,,,,,,,
Albania,High,2055,55-59,95.391998000000001,91.344002000000003,186.73598999999999,,,,,,,,
